Date,Region,Product,Category,Units Sold,Unit Price,Total Sales,Profit Margin (%)
01/03/24,NORTH,Tablet,Gadgets,36.0,750.62,27022.32,0.1%
12/02/24,WEST,Tablet,Gadgets,30.0,510.97,15329.1,0.08%
28/04/24,EAST,Phone,Electronics,63.0,129.8,8177.400000000001,0.1%
17/04/24,NORTH,Phone,Electronics,83.0,398.65,33087.95,0.08%
19/02/24,SOUTH,Tablet,Gadget,96.0,382.98,36766.08,15%
20/02/24,NORTH,Laptop,Electronics,30.0,741.91,22257.3,15%
27/04/24,EAST,Laptop,Electronics,20.0,200.97,4019.4,0.1%
26/02/24,EAST,Tablet,Electronics,20.0,567.38,11347.6,8%
09/02/24,WEST,Laptop,Gadget,30.0,402.41,12072.300000000001,0.08%
26/04/24,EAST,Monitor,Electronics,20.0,925.37,18507.4,15%
06/01/24,NORTH,Desktop,Gadgets,15.0,238.49,3577.3500000000004,0.08%
03/04/24,SOUTH,Phone,Electronics,20.0,386.04,7720.8,0.1%
01/02/24,SOUTH,Monitor,Gadget,27.0,949.97,25649.190000000002,8%
17/01/24,NORTH,Desktop,Electronics,30.0,987.03,29610.899999999998,0.1%
18/03/24,SOUTH,Laptop,Electronics,30.0,661.91,19857.3,0.08%
13/01/24,NORTH,Laptop,Electronics,30.0,540.57,16217.100000000002,0.1%
24/02/24,EAST,Tablet,Electronics,48.0,803.6,38572.8,8%
08/04/24,NORTH,Tablet,Electronics,30.0,126.77,3803.1,8%
03/03/24,NORTH,Phone,Gadgets,35.0,873.65,30577.75,0.08%
09/02/24,NORTH,Laptop,Gadgets,77.0,107.26,8259.02,0.12%
25/02/24,SOUTH,Laptop,Gadgets,30.0,672.85,20185.5,0.1%
27/04/24,NORTH,Monitor,Electronics,20.0,826.81,16536.199999999997,0.08%
16/04/24,NORTH,Desktop,Electronics,56.0,349.55,19574.8,8%
11/02/24,NORTH,Desktop,Electronics,57.0,746.38,42543.659999999996,8%
27/02/24,NORTH,Laptop,Electronics,37.0,729.76,27001.12,0.12%
24/03/24,SOUTH,Desktop,Gadget,30.0,561.13,16833.9,0.1%
31/03/24,WEST,Phone,Gadget,30.0,481.36,14440.800000000001,15%
09/01/24,EAST,Laptop,Gadget,20.0,390.32,7806.4,8%
12/01/24,NORTH,Tablet,Gadgets,20.0,416.23,8324.6,0.1%
18/04/24,NORTH,Tablet,Gadget,30.0,138.84,4165.2,15%
13/04/24,WEST,Monitor,Electronics,30.0,572.98,17189.4,0.08%
21/04/24,EAST,Laptop,Electronics,20.0,667.13,13342.6,0.08%
16/04/24,WEST,Laptop,Electronics,20.0,154.5,3090.0,0.1%
29/04/24,NORTH,Monitor,Electronics,20.0,240.04,4800.8,0.08%
25/04/24,NORTH,Laptop,Electronics,28.0,661.93,18534.039999999997,0.1%
06/01/24,NORTH,Phone,Electronics,30.0,116.45,3493.5,15%
18/01/24,NORTH,Desktop,Gadget,30.0,801.59,24047.7,0.12%
07/02/24,SOUTH,Laptop,Electronics,20.0,507.69,10153.8,8%
20/04/24,NORTH,Desktop,Electronics,20.0,861.56,17231.199999999997,0.08%
12/04/24,NORTH,Tablet,Gadgets,20.0,716.23,14324.6,0.12%
01/04/24,WEST,Laptop,Electronics,20.0,844.45,16889.0,15%
16/02/24,NORTH,Monitor,Electronics,87.0,969.77,84369.99,8%
19/02/24,NORTH,Laptop,Gadget,30.0,560.47,16814.100000000002,8%
05/02/24,SOUTH,Laptop,Electronics,95.0,496.71,47187.45,8%
07/02/24,EAST,Monitor,Electronics,30.0,817.81,24534.3,0.1%
17/01/24,NORTH,Desktop,Gadget,69.0,614.82,42422.58,8%
06/01/24,NORTH,Laptop,Electronics,30.0,315.98,9479.400000000001,0.08%
23/03/24,EAST,Phone,Electronics,20.0,404.58,8091.599999999999,8%
19/01/24,EAST,Monitor,Electronics,30.0,508.16,15244.800000000001,0.12%
04/02/24,WEST,Laptop,Electronics,13.0,397.49,5167.37,0.1%
04/03/24,NORTH,Phone,Gadgets,20.0,123.11,2462.2,8%
20/02/24,EAST,Monitor,Electronics,20.0,303.77,6075.4,15%
12/04/24,WEST,Tablet,Gadgets,30.0,627.17,18815.1,8%
16/04/24,NORTH,Tablet,Gadgets,30.0,935.02,28050.6,15%
20/03/24,WEST,Laptop,Electronics,32.0,212.24,6791.68,0.1%
05/03/24,NORTH,Phone,Electronics,94.0,631.26,59338.44,0.1%
08/02/24,SOUTH,Desktop,Electronics,91.0,600.4,54636.4,0.08%
10/03/24,WEST,Phone,Electronics,99.0,394.91,39096.090000000004,0.1%
15/04/24,NORTH,Desktop,Gadget,20.0,240.13,4802.6,15%
17/04/24,WEST,Monitor,Gadgets,30.0,997.04,29911.199999999997,0.12%
10/03/24,NORTH,Phone,Electronics,20.0,379.24,7584.8,0.1%
13/01/24,SOUTH,Laptop,Gadgets,42.0,492.3,20676.600000000002,0.1%
17/02/24,NORTH,Laptop,Electronics,20.0,865.77,17315.4,0.1%
28/03/24,NORTH,Monitor,Electronics,20.0,640.9,12818.0,0.08%
22/01/24,EAST,Monitor,Gadget,57.0,796.26,45386.82,0.08%
28/02/24,NORTH,Laptop,Gadget,30.0,840.02,25200.6,0.1%
14/02/24,NORTH,Laptop,Gadget,8.0,583.04,4664.32,0.12%
21/04/24,WEST,Phone,Electronics,30.0,236.83,7104.900000000001,0.1%
29/01/24,NORTH,Monitor,Electronics,20.0,657.54,13150.8,8%
29/04/24,NORTH,Monitor,Electronics,30.0,529.78,15893.4,0.08%
31/03/24,NORTH,Laptop,Electronics,20.0,549.29,10985.8,0.08%
14/03/24,NORTH,Monitor,Electronics,42.0,776.66,32619.719999999998,15%
02/02/24,SOUTH,Desktop,Electronics,20.0,967.47,19349.4,0.08%
21/04/24,NORTH,Laptop,Gadget,30.0,590.26,17707.8,0.1%
06/04/24,WEST,Laptop,Electronics,30.0,345.7,10371.0,8%
16/02/24,NORTH,Phone,Gadgets,30.0,959.4,28782.0,15%
03/01/24,EAST,Tablet,Gadget,30.0,527.37,15821.1,15%
13/02/24,EAST,Monitor,Gadgets,30.0,571.21,17136.300000000003,0.1%
28/02/24,EAST,Laptop,Gadget,30.0,731.61,21948.3,0.08%
05/02/24,NORTH,Desktop,Electronics,30.0,790.55,23716.5,0.08%
14/04/24,EAST,Desktop,Gadgets,20.0,515.58,10311.6,0.1%
21/02/24,WEST,Phone,Gadget,61.0,819.21,49971.810000000005,0.08%
16/03/24,SOUTH,Monitor,Electronics,51.0,677.3,34542.299999999996,0.1%
11/01/24,EAST,Laptop,Gadgets,30.0,257.94,7738.2,8%
17/01/24,NORTH,Laptop,Gadgets,30.0,668.65,20059.5,8%
02/01/24,EAST,Phone,Gadgets,100.0,842.71,84271.0,8%
04/03/24,SOUTH,Laptop,Electronics,20.0,595.09,11901.800000000001,0.08%
28/02/24,NORTH,Laptop,Electronics,20.0,489.42,9788.4,8%
29/03/24,SOUTH,Phone,Electronics,20.0,852.88,17057.6,0.12%
15/01/24,NORTH,Laptop,Gadget,70.0,663.03,46412.1,0.1%
27/03/24,WEST,Laptop,Electronics,39.0,257.91,10058.490000000002,0.12%
05/03/24,NORTH,Phone,Gadget,20.0,818.68,16373.599999999999,15%
06/01/24,NORTH,Tablet,Electronics,20.0,870.42,17408.399999999998,0.08%
23/02/24,NORTH,Laptop,Electronics,20.0,566.26,11325.2,15%
10/02/24,NORTH,Desktop,Electronics,91.0,123.43,11232.130000000001,0.1%
12/03/24,WEST,Phone,Electronics,30.0,755.84,22675.2,0.08%
19/02/24,NORTH,Tablet,Electronics,20.0,870.9,17418.0,0.12%
